start_time	robot_id	from_position_id	to_position_id	measured_gps_x	measured_gps_y	real_gps_x	real_gps_y	measured_orientation	real_orientation	measured_lidar_distance	measured_radar_distance	real_distance	measured_temperature	real_temperature	decided_action	action_successful	holding_item_id	cardinality
5	12	657	658	21	28	21	27	Up	Up	2	2	0	69.63941	69.65306	StepForward	True		
5	19	87	87	2	27	2	27	Left	Left	2	3	0	75.512146	75.87479	DoNothing	True		8
5	20	129	130	5	9	4	9	Up	Up	9	9	0	62.60483	62.7713	StepForward	True		
5	3	852	852	28	12	28	12	Right	Right	1	1	0	91.441025	91.75419	DoNothing	True		10
5	15	859	859	28	19	28	19	Right	Right	1	1	0	56.197323	56.176067	DoNothing	True		9
5	14	194	195	6	14	6	14	Up	Up			0	99.762146	99.167404	StepForward	True		
5	9	433	434	14	13	14	13	Up	Up			0	67.689674	67.571655	StepForward	True		
5	26	228	229	8	18	7	18	Up	Up	3	3	0	88.54981	88.03998	StepForward	True		
5	17	159	160	5	9	5	9	Up	Up			0	105.00629	104.850044	StepForward	True		
5	1	868	867	28	28	28	28	Down	Down	6	6	0	62.038418	62.05994	StepForward	True		
5	2	104	104	3	13	3	14	Up	Up	3	2	0	78.39937	78.52998	DoNothing	True		1
5	24	141	141	3	21	4	21	Left	Left	1	1	0	23.196573	22.741497	TurnRight	True		
5	25	549	550	18	9	18	9	Up	Up	8	8	0	75.85128	76.16974	StepForward	True		
5	29	530	530	16	19	17	20	Left	Left	5	5	0	20.859324	20.857647	TurnRight	True		
5	8	418	417	13	28	13	28	Down	Down	7	7	0	99.96623	99.4672	StepForward	True		
5	23	411	411	13	21	13	21	Left	Left	6	6	0	46.5398	46.399536	DoNothing	True		6
5	28	183	183	6	3	6	3	Right	Right	1	2	0	29.617924	29.985579	TurnLeft	True		
5	4	307	307	11	7	10	7	Up	Up	1	1	0	117.68095	116.02031	GraspAnItem	True		
5	11	406	406	13	16	13	16	Up	Up	3	3	0	85.07843	85.100555	DoNothing	True		5
6	21	304	304	10	5	10	4	Up	Up	3	3	0	110.87297	110.352036	DoNothing	True		3
6	24	141	142	4	21	4	21	Up	Up	2	2	0	23.185484	22.741497	StepForward	True		
6	11	406	406	13	17	13	16	Up	Up	3	3	0	85.26425	85.100555	DoNothing	True		5
6	4	307	308	10	7	10	7	Up	Up	4	4	0	115.040436	116.02031	StepForward	True		
6	15	859	859	28	19	28	19	Right	Right	2	0	0	55.997215	56.176067	DoNothing	True		9
6	19	87	87	2	27	2	27	Left	Left	2	2	0	76.36091	75.87479	DoNothing	True		8
6	6	268	268	8	28	8	28	Left	Left	7	7	0	57.89288	57.963608	DoNothing	True		7
6	18	696	696	24	6	23	6	Left	Left			0	105.44396	103.85115	DoNothing	True		11
6	12	658	658	21	28	21	28	Up	Up	1	1	0	109.4274	107.346245	TurnRight	True		
6	16	746	746	24	26	24	26	Up	Up	3	3	0	39.318886	38.554977	DoNothing	True		8
6	23	411	381	15	20	13	21	Left	Left	5	6	0	46.375237	46.399536	StepForward	True		
6	5	768	769	25	20	25	18	Up	Up	2	2	0	103.55521	105.30181	StepForward	True		
6	10	628	628	20	28	20	28	Left	Left	5	5	0	81.74487	81.80008	DoNothing	True		7
6	9	434	435	14	14	14	14	Up	Up	10	10	0	43.366703	42.616005	StepForward	True		
6	17	160	161	4	9	5	10	Up	Up			0	103.60892	103.60161	StepForward	True		
6	22	428	428	14	5	14	8	Up	Up		8	0	107.456406	105.2553	DoNothing	True		4
6	25	550	551	17	9	18	10	Up	Up	7	6	0	32.38718	32.56739	StepForward	True		
6	26	229	230	7	19	7	19	Up	Up	2	2	0	19.070398	19.198395	StepForward	True		
6	3	852	852	28	13	28	12	Right	Right	1	1	0	92.00923	91.75419	DoNothing	True		10
6	8	417	416	13	26	13	27	Down	Down	8	8	0	33.248684	33.5457	StepForward	True		
6	0	842	842	28	2	28	2	Down	Down	2	2	0	34.97258	35.569878	DoNothing	True		12
6	14	195	196	6	15	6	15	Up	Up			0	51.233532	51.118656	StepForward	True		
6	28	183	184	6	4	6	3	Up	Up	2	2	0	29.797457	29.985579	StepForward	True		
6	7	338	339	12	8	11	8	Up	Up		7	0	103.48186	102.102234	StepForward	True		
6	1	867	866	28	27	28	27	Down	Down	5	5	0	68.74747	68.74478	StepForward	True		
6	2	104	104	3	14	3	14	Up	Up	3	2	0	78.25163	78.52998	DoNothing	True		1
6	20	130	131	4	10	4	10	Up	Up	8	8	0	70.75321	71.15164	StepForward	True		
6	13	380	380	12	20	12	20	Down	Down	1	1	0	30.619696	30.482944	TurnRight	True		
6	29	530	531	17	19	17	20	Up	Up	4	4	0	20.656958	20.857647	StepForward	True		
6	27	36	36	1	6	1	6	Up	Up	4	3	0	95.03052	94.903114	DoNothing	True		1
7	28	184	184	6	4	6	4	Up	Up	2	1	0	99.44852	99.70604	TurnLeft	True		
7	29	531	501	17	21	17	21	Up	Up	3	2	0	94.88029	95.400116	StepForward	True		
7	16	746	746	24	26	24	26	Up	Up	3	3	0	38.614265	38.554977	DoNothing	True		8
7	15	859	859	28	19	28	19	Right	Right	1	1	0	56.612755	56.176067	DoNothing	True		9
7	9	435	436	15	15	14	15	Up	Up	9	9	0	39.259445	39.18118	StepForward	True		
7	20	131	132	4	11	4	11	Up	Up	7	7	0	65.78486	65.51839	StepForward	True		
7	3	852	852	28	12	28	12	Right	Right	1	1	0	91.054985	91.75419	DoNothing	True		10
7	25	551	552	17	11	18	11	Up	Up	6	6	0	61.462223	61.603096	StepForward	True		
7	19	87	87	2	27	2	27	Left	Left	2	2	0	75.70834	75.87479	DoNothing	True		8
7	22	428	428	13	10	14	8	Up	Up			0	104.70218	105.2553	DoNothing	True		4
7	7	339	340	12	9	11	9	Up	Up		5	0	110.77013	112.55245	StepForward	True		
7	13	380	350	11	20	12	20	Left	Left	5	5	0	30.735897	30.482944	StepForward	True		
7	5	769	769	24	19	25	19	Up	Up	1	1	0	91.57632	91.39133	TurnRight	True		
7	6	268	268	8	28	8	28	Left	Left	7	7	0	58.28003	57.963608	DoNothing	True		7
7	4	308	309	10	8	10	8	Up	Up	3	3	0	110.783356	109.158325	StepForward	True		
7	21	304	304	10	4	10	4	Up	Up	5	5	0	108.32085	110.352036	DoNothing	True		3
7	0	842	842	28	2	28	2	Down	Down	2	2	0	36.05764	35.569878	DoNothing	True		12
7	23	381	351	11	21	12	21	Left	Left	5	5	0	64.280945	64.23633	StepForward	True		
7	12	658	688	20	28	21	28	Right	Right			0	108.082695	107.346245	StepForward	True		
7	2	104	104	3	14	3	14	Up	Up	3	4	0	78.508896	78.52998	DoNothing	True		1
7	17	161	162	5	11	5	11	Up	Up			0	66.60084	66.465034	StepForward	True		
7	11	406	406	13	17	13	16	Up	Up	3	3	0	85.43737	85.100555	DoNothing	True		5
7	8	416	415	13	27	13	26	Down	Down	7	7	0	56.025307	55.609707	StepForward	True		
7	1	866	865	27	27	28	26	Down	Down	4	4	0	63.834686	63.792046	StepForward	True		
7	26	230	230	6	21	7	20	Up	Up	1	2	0	28.080362	27.600325	TurnLeft	True		
7	24	142	142	5	22	4	22	Up	Up	1	1	0	98.02463	98.010086	Destroy	True		
7	18	696	696	23	6	23	6	Left	Left			0	104.34343	103.85115	DoNothing	True		11
7	10	628	628	20	29	20	28	Left	Left	5	5	0	81.501686	81.80008	DoNothing	True		7
7	27	36	36	1	6	1	6	Up	Up	4	4	0	94.858345	94.903114	DoNothing	True		1
7	14	196	197	6	15	6	16	Up	Up			0	83.89327	83.84778	StepForward	True		
8	25	552	553	17	12	18	12	Up	Up	5	5	0	46.576782	46.571198	StepForward	True		
8	16	746	746	25	26	24	26	Up	Up	3	3	0	38.43348	38.554977	DoNothing	True		8
8	7	340	341	10	10	11	10	Up	Up	5	5	0	58.240974	57.846565	StepForward	True		
8	19	87	87	2	27	2	27	Left	Left	2	2	0	75.798096	75.87479	DoNothing	True		8
8	18	696	696	23	5	23	6	Left	Left			0	104.80397	103.85115	DoNothing	True		11
8	21	304	304	10	4	10	4	Up	Up	5	5	0	111.91753	110.352036	DoNothing	True		3
8	29	501	471	16	20	16	21	Left	Left	5	4	0	109.86326	110.263016	StepForward	True		
8	2	104	104	3	13	3	14	Up	Up	3	3	0	78.27953	78.52998	DoNothing	True		1
8	24	142	143	4	22	4	22	Up	Up	7	7	0	98.28484	98.010086	StepForward	True		
8	4	309	310	12	11	10	9	Up	Up	2	2	0	72.93938	72.56842	StepForward	True		
8	12	688	718	23	28	22	28	Right	Right	7	7	0	19.149584	18.654034	StepForward	True		
8	9	436	437	15	17	14	16	Up	Up	7	8	0	79.14995	79.337326	StepForward	True		
8	6	268	268	7	29	8	28	Left	Left	6	7	0	57.775757	57.963608	DoNothing	True		7
8	15	859	859	28	19	28	19	Right	Right	1	1	0	55.398945	56.176067	DoNothing	True		9
8	13	350	320	11	20	11	20	Left	Left	4	4	0	41.228065	41.30448	StepForward	True		
8	11	406	406	15	16	13	16	Up	Up	3	3	0	84.82669	85.100555	DoNothing	True		5
8	5	769	799	25	19	25	19	Right	Right	3	3	0	91.52199	91.39133	StepForward	True		
8	14	197	167	6	17	6	17	Up	Up			0	65.16172	64.91669	StepForward	True		
8	23	351	321	11	21	11	21	Left	Left	4	4	0	89.27824	89.77231	StepForward	True		
8	1	865	864	28	25	28	25	Down	Down	3	3	0	24.90976	24.941177	StepForward	True		
8	3	852	852	28	11	28	12	Right	Right	1	1	0	91.691956	91.75419	DoNothing	True		10
8	26	230	200	7	22	7	20	Left	Left	4	4	0	27.360342	27.600325	StepForward	True		
8	27	36	36	1	6	1	6	Up	Up	5	4	0	95.03118	94.903114	DoNothing	True		1
8	20	132	133	4	11	4	12	Up	Up	6	6	0	61.717808	61.433605	StepForward	True		
8	28	184	184	5	4	6	4	Left	Left	1	1	0	99.22172	99.70604	TurnLeft	True		
8	10	628	628	19	28	20	28	Left	Left	5	5	0	81.94445	81.80008	DoNothing	True		7
8	8	415	414	13	25	13	25	Down	Down	6	6	0	66.739586	66.409775	StepForward	True		
8	22	428	428	14	8	14	8	Up	Up			0	104.498344	105.2553	DoNothing	True		4
8	0	842	842	29	3	28	2	Down	Down	2	2	0	35.52765	35.569878	DoNothing	True		12
8	17	162	163	3	12	5	12	Up	Up	5	5	0	56.506668	56.89372	StepForward	True		
9	17	163	164	5	14	5	13	Up	Up	4	4	0	51.086235	51.0934	StepForward	True		
9	1	864	863	28	24	28	24	Down	Down	2	2	0	106.699974	105.11049	StepForward	True		
9	10	628	628	19	28	20	28	Left	Left	5	5	0	82.045074	81.80008	DoNothing	True		7
9	13	320	290	10	20	10	20	Left	Left	4	4	0	49.702927	49.903564	StepForward	True		
9	8	414	413	13	23	13	24	Down	Down	5	5	0	36.26848	36.53363	StepForward	True		
9	16	746	746	24	26	24	26	Up	Up	3	3	0	38.535984	38.554977	DoNothing	True		8
9	9	437	437	14	17	14	17	Up	Up	7	7	0	66.51673	66.62893	DoNothing	True		6
9	5	799	799	27	18	26	19	Right	Right	2	2	0	30.404259	30.283188	StepForward	False		
9	20	133	134	4	13	4	13	Up	Up	4	5	0	83.414764	83.27634	StepForward	True		
9	4	310	310	11	10	10	10	Up	Up	1	1	0	114.73835	114.253784	TurnLeft	True		
9	0	842	842	28	2	28	2	Down	Down	2	2	0	35.713623	35.569878	DoNothing	True		12
9	6	268	268	8	28	8	28	Left	Left	7	7	0	57.98086	57.963608	DoNothing	True		7
9	25	553	554	19	13	18	13	Up	Up	4	4	0	114.33882	109.89034	StepForward	True		
9	26	200	170	6	21	6	20	Left	Left	3	3	0	19.174435	19.17365	StepForward	True		
9	23	321	291	9	21	10	21	Left	Left	3	3	0	92.0076	92.54561	StepForward	True		
9	21	304	304	9	5	10	4	Right	Up		6	0	111.02994	110.352036	DoNothing	True		3
9	22	428	428	15	10	14	8	Up	Up			0	104.56207	105.2553	DoNothing	True		4
9	28	184	183	6	4	6	4	Down	Down	4	4	0	99.653885	99.70604	StepForward	True		
9	24	143	144	2	24	4	23	Up	Up	5	6	0	99.30824	99.31543	StepForward	True		
9	18	696	696	23	6	23	6	Left	Left			0	103.857925	103.85115	DoNothing	True		11
